feature,mean_contrib_top10,mean_contrib_rest,diff_top10_vs_rest,group_effect,topk_fraction,topk_size,min_probability_in_topk
num__tenure,1.320016,-0.113317,1.433333,Caracteriza Top10 riesgo,0.1,140,0.6615
cat__InternetService_Fiber optic,0.620255,0.244606,0.375649,Caracteriza Top10 riesgo,0.1,140,0.6615
cat__Contract_Month-to-month,0.585998,0.292306,0.293692,Caracteriza Top10 riesgo,0.1,140,0.6615
cat__InternetService_DSL,-0.027585,-0.242444,0.214859,Caracteriza Top10 riesgo,0.1,140,0.6615
cat__Contract_Two year,0.0,-0.201071,0.201071,Caracteriza Top10 riesgo,0.1,140,0.6615
cat__PaperlessBilling_No,-0.016537,-0.146472,0.129935,Caracteriza Top10 riesgo,0.1,140,0.6615
cat__PaymentMethod_Electronic check,0.170342,0.057998,0.112344,Caracteriza Top10 riesgo,0.1,140,0.6615
cat__OnlineSecurity_No,0.164367,0.073317,0.09105,Caracteriza Top10 riesgo,0.1,140,0.6615
cat__TechSupport_No,0.137282,0.063031,0.07425,Caracteriza Top10 riesgo,0.1,140,0.6615
cat__Dependents_Yes,-0.012809,-0.085596,0.072787,Caracteriza Top10 riesgo,0.1,140,0.6615
cat__StreamingMovies_No internet service,0.0,-0.072027,0.072027,Caracteriza Top10 riesgo,0.1,140,0.6615
cat__StreamingTV_No internet service,0.0,-0.072027,0.072027,Caracteriza Top10 riesgo,0.1,140,0.6615
